player,year,team,age,att,yac_att_stab,brk_rate_stab,ol_adj_ybc_stab,LINX_stab
Jacory Croskey-Merritt,2025,WAS,24,175,2.0447,0.0685,0.2443,0.4193
Jahmyr Gibbs,2025,DET,23,243,1.9887,0.0775,0.3525,0.6343
James Cook,2025,BUF,26,309,2.1767,0.0636,0.1239,0.4671
Javonte Williams,2025,DAL,25,252,2.1981,0.0753,-0.139,0.3614
Jaylen Warren,2025,PIT,27,211,2.2034,0.0982,0.0848,1.2119
Jonathan Taylor,2025,IND,26,323,2.2413,0.0715,0.0726,0.7223
Jordan Mason,2025,MIN,26,159,2.237,0.0753,0.1295,0.8799
Josh Jacobs,2025,GNB,27,234,2.0793,0.0776,-0.0183,0.2931
Kareem Hunt,2025,KAN,30,163,1.8523,0.0446,-0.0837,-1.0965
Kenneth Gainwell,2025,PIT,26,114,2.0438,0.085,0.1501,0.6207
Kenneth Walker III,2025,SEA,25,221,1.885,0.0903,0.1226,0.2818
Kimani Vidal,2025,LAC,24,155,2.174,0.0442,-0.0937,-0.291
Kyle Monangai,2025,CHI,23,169,1.975,0.0479,-0.0534,-0.662
Kyren Williams,2025,LAR,25,259,1.979,0.0823,-0.0519,0.0813
Nick Chubb,2025,HOU,30,122,1.9807,0.0513,-0.0309,-0.5407
Omarion Hampton,2025,LAC,22,124,1.8943,0.0855,0.276,0.4418
Quinshon Judkins,2025,CLE,22,230,2.1158,0.0551,0.0085,-0.0508
RJ Harvey,2025,DEN,24,146,1.9271,0.0569,-0.1633,-0.7667
Rachaad White,2025,TAM,26,132,1.8582,0.0594,0.0459,-0.5647
Rhamondre Stevenson,2025,NWE,27,130,2.2973,0.0855,-0.1866,0.7608
Rico Dowdle,2025,CAR,27,236,2.0617,0.0576,0.157,0.0954
Saquon Barkley,2025,PHI,28,280,1.817,0.0601,0.1031,-0.5669
Tony Pollard,2025,TEN,28,242,1.9659,0.071,0.0415,-0.0476
Travis Etienne,2025,JAX,26,260,1.9819,0.0515,0.0574,-0.3964
TreVeyon Henderson,2025,NWE,23,180,2.0178,0.0623,0.2939,0.2959
Tyler Allgeier,2025,ATL,25,143,1.9604,0.0631,-0.3099,-0.7772
Tyrone Tracy Jr.,2025,NYG,26,176,1.8202,0.0414,0.2081,-0.7925
Woody Marks,2025,HOU,25,196,1.8984,0.0472,-0.0208,-0.8247
Zach Charbonnet,2025,SEA,24,184,1.9666,0.0753,-0.1602,-0.2689
