player,year,team,age,att,yac_att_stab,brk_rate_stab,ol_adj_ybc_stab,LINX_stab
Marlon Mack,2019,IND,23,247,2.1045,0.0589,0.018,-0.6042
Matt Breida,2019,SFO,24,123,2.0318,0.0742,0.2066,-0.14
Melvin Gordon,2019,LAC,26,162,2.1816,0.0763,0.0242,-0.1294
Miles Sanders,2019,PHI,22,179,2.1489,0.0844,0.1187,0.1174
Nick Chubb,2019,CLE,24,298,2.7684,0.1007,0.0725,1.4844
Peyton Barber,2019,TAM,25,154,1.9427,0.071,-0.0528,-0.7962
Phillip Lindsay,2019,DEN,25,224,1.8942,0.0977,0.36,0.2964
Raheem Mostert,2019,SFO,27,137,2.1912,0.083,0.1803,0.2727
Ronald Jones II,2019,TAM,22,172,2.3023,0.1047,0.1329,0.8012
Royce Freeman,2019,DEN,23,132,2.1516,0.0806,-0.4426,-0.8813
Saquon Barkley,2019,NYG,22,217,2.6251,0.0864,0.0803,0.9697
Sony Michel,2019,NWE,24,247,1.8753,0.0669,-0.0847,-1.0496
Tevin Coleman,2019,SFO,26,137,1.8101,0.0536,-0.1282,-1.4886
Todd Gurley,2019,LAR,25,223,2.0218,0.0828,0.0695,-0.2273
Aaron Jones,2020,GNB,26,201,2.4833,0.085,0.0971,0.937
Adrian Peterson,2020,DET,35,156,2.0159,0.0631,-0.0975,-0.8982
Alvin Kamara,2020,NOR,25,187,2.2035,0.1078,0.097,0.8537
Antonio Gibson,2020,WAS,22,170,2.1134,0.0931,0.2111,0.5417
Austin Ekeler,2020,LAC,25,116,2.334,0.0912,0.0315,0.6399
Benny Snell Jr.,2020,PIT,22,111,2.1713,0.0646,-0.1958,-0.7148
Brian Hill,2020,ATL,25,100,2.3032,0.0682,0.0536,0.0997
Cam Akers,2020,LAR,21,145,2.139,0.0593,-0.0725,-0.6768
Chris Carson,2020,SEA,26,141,2.3503,0.0836,-0.016,0.418
Clyde Edwards-Helaire,2020,KAN,21,181,2.1468,0.0773,0.0409,-0.0507
D'Andre Swift,2020,DET,21,114,1.9871,0.0747,0.1785,-0.1973
Dalvin Cook,2020,MIN,25,312,2.3339,0.0913,0.0482,0.6721
Damien Harris,2020,NWE,23,137,2.0651,0.0785,0.2199,0.1292
Darrell Henderson,2020,LAR,23,138,2.1182,0.0664,0.0386,-0.3586
David Johnson,2020,HOU,29,147,1.9556,0.0532,0.2144,-0.6789
David Montgomery,2020,CHI,23,247,2.1467,0.1039,-0.0244,0.424
Derrick Henry,2020,TEN,26,378,2.8082,0.093,0.0643,1.7462
Devin Singletary,2020,BUF,23,156,2.5038,0.0782,0.0481,0.7395
Ezekiel Elliott,2020,DAL,25,244,2.1497,0.0684,0.0671,-0.1958
Frank Gore,2020,NYJ,37,187,2.0891,0.057,-0.2755,-1.2047
Giovani Bernard,2020,CIN,29,124,2.04,0.0693,-0.1085,-0.7292
Gus Edwards,2020,BAL,25,144,2.5457,0.0683,-0.039,0.448
J.K. Dobbins,2020,BAL,22,134,2.4789,0.0642,0.1944,0.6408
Jamaal Williams,2020,GNB,25,119,1.9862,0.0538,-0.1026,-1.1787
James Conner,2020,PIT,25,169,2.0988,0.083,0.2177,0.2967
James Robinson,2020,JAX,22,240,2.384,0.0692,-0.0028,0.1918
Jeff Wilson,2020,SFO,25,126,2.1686,0.0719,0.0282,-0.148
Joe Mixon,2020,CIN,24,119,2.097,0.0568,0.0672,-0.5653
Jonathan Taylor,2020,IND,21,232,2.1133,0.0682,0.1998,-0.0352
Josh Jacobs,2020,LVR,22,273,2.2184,0.0805,-0.0918,-0.0686
Joshua Kelley,2020,LAC,23,111,1.942,0.069,-0.1484,-1.0165
Kareem Hunt,2020,CLE,25,198,2.2948,0.0855,-0.307,-0.189
Kenyan Drake,2020,ARI,26,239,1.8995,0.0687,0.0128,-0.8178
Latavius Murray,2020,NOR,30,146,2.0019,0.0538,-0.0064,-0.9695
Malcolm Brown,2020,LAR,27,101,1.9334,0.0713,0.1064,-0.5189
Melvin Gordon,2020,DEN,27,215,2.1461,0.0738,-0.0233,-0.2484
Mike Davis,2020,CAR,27,165,2.2472,0.0988,-0.0504,0.4748
Miles Sanders,2020,PHI,23,164,2.1859,0.069,0.1777,0.0959
Myles Gaskin,2020,MIA,23,142,2.108,0.0598,-0.0941,-0.7701
Nick Chubb,2020,CLE,25,190,2.6925,0.1013,0.2276,1.9826
Phillip Lindsay,2020,DEN,26,118,1.8081,0.0773,0.2675,-0.3559
Raheem Mostert,2020,SFO,28,104,2.0089,0.0676,0.3514,0.0072
Ronald Jones II,2020,TAM,23,192,2.6069,0.0755,0.0896,0.9743
Todd Gurley,2020,ATL,26,195,1.9332,0.0868,-0.0814,-0.5154
Tony Pollard,2020,DAL,23,101,2.2689,0.0746,0.0139,0.0979
Wayne Gallman,2020,NYG,26,147,2.2938,0.0704,0.1093,0.2325
Zack Moss,2020,BUF,23,112,2.2691,0.088,0.0474,0.4591
AJ Dillon,2021,GNB,23,187,2.0961,0.0794,-0.0324,0.0836
Aaron Jones,2021,GNB,27,171,2.3552,0.0785,0.091,0.8369
Alex Collins,2021,SEA,27,108,1.874,0.0641,-0.1204,-0.8763
Alexander Mattison,2021,MIN,23,134,1.9952,0.0885,-0.2561,-0.3546
Alvin Kamara,2021,NOR,26,240,1.8056,0.0944,0.1677,0.1794
Antonio Gibson,2021,WAS,23,258,1.9888,0.0795,0.055,0.0259
Austin Ekeler,2021,LAC,26,206,2.1221,0.0736,-0.0349,0.0072
Chase Edmonds,2021,ARI,25,116,1.8424,0.0593,0.5057,0.138
Chuba Hubbard,2021,CAR,22,172,1.9602,0.0611,-0.0564,-0.6402
Clyde Edwards-Helaire,2021,KAN,22,119,1.954,0.069,0.0595,-0.2639
Cordarrelle Patterson,2021,ATL,30,153,1.975,0.0588,0.0244,-0.507
D'Andre Swift,2021,DET,22,151,1.7652,0.0665,0.1222,-0.5924
D'Ernest Johnson,2021,CLE,25,100,2.1306,0.0792,0.188,0.5661
D'Onta Foreman,2021,TEN,25,133,2.1117,0.0743,-0.0527,-0.0331
Dalvin Cook,2021,MIN,26,249,2.1294,0.078,0.1732,0.51
Damien Harris,2021,NWE,24,202,2.124,0.0744,0.1736,0.4215
Darrel Williams,2021,KAN,26,144,1.8029,0.0516,-0.0313,-1.1264
Darrell Henderson,2021,LAR,24,149,1.9843,0.0471,0.1811,-0.4428
David Montgomery,2021,CHI,24,225,1.9898,0.0867,-0.1136,-0.1361
Derrick Henry,2021,TEN,27,219,2.5078,0.0704,-0.0161,0.7781
Devin Singletary,2021,BUF,24,188,2.3542,0.0725,0.1059,0.7339
Devonta Freeman,2021,BAL,29,133,1.735,0.0463,0.1259,-1.0849
Devontae Booker,2021,NYG,29,145,1.8353,0.0456,0.1645,-0.817
Elijah Mitchell,2021,SFO,23,207,2.2584,0.0731,-0.0493,0.253
Ezekiel Elliott,2021,DAL,26,237,1.9506,0.0553,-0.0376,-0.7512
Jamaal Williams,2021,DET,26,153,1.7391,0.0614,0.014,-0.9629
James Conner,2021,ARI,26,202,2.0606,0.0846,-0.187,-0.1709
James Robinson,2021,JAX,23,164,2.14,0.0675,0.1493,0.2616
Javonte Williams,2021,DEN,21,203,2.1444,0.111,-0.0237,0.8822
Joe Mixon,2021,CIN,25,292,1.9371,0.0661,0.031,-0.4164
Jonathan Taylor,2021,IND,22,332,2.4743,0.0716,0.1171,0.9846
Josh Jacobs,2021,LVR,23,217,2.1084,0.084,-0.1006,0.0789
Khalil Herbert,2021,CHI,23,103,1.9478,0.0751,0.1078,-0.0547
Latavius Murray,2021,BAL,31,119,1.8928,0.0659,-0.0094,-0.589
Leonard Fournette,2021,TAM,26,180,2.3469,0.0633,0.027,0.3713
Melvin Gordon,2021,DEN,28,203,2.1261,0.0812,-0.01,0.2257
Michael Carter,2021,NYJ,22,147,2.159,0.0771,-0.069,0.0943
Mike Davis,2021,ATL,28,138,1.9783,0.0806,-0.0837,-0.234
Miles Sanders,2021,PHI,24,137,2.0965,0.0751,0.3132,0.644
Myles Gaskin,2021,MIA,24,173,1.7662,0.0518,0.0443,-1.056
