year,player,team,age,att,yac_att,brk_rate,ol_adj_ybc,z_yac,z_brk,z_ol,LINX,ypc_above_team
2019,Ronald Jones II,TAM,22,172,2.4128,0.1337,0.2594,0.4564,1.7044,0.8232,0.9225,0.6158
2019,Alvin Kamara,NOR,24,171,2.345,0.1696,-0.1046,0.3059,2.8404,-0.4506,0.8771,0.1113
2019,Josh Jacobs,OAK,21,242,2.8223,0.1074,0.0197,1.3654,0.8722,-0.0156,0.8722,0.4282
2019,Leonard Fournette,JAX,24,265,2.9887,0.0604,0.0996,1.7347,-0.6151,0.264,0.6621,0.1821
2019,Saquon Barkley,NYG,22,217,2.788,0.0737,0.0866,1.2892,-0.1942,0.2185,0.5765,0.373
2019,Aaron Jones,GNB,25,236,2.1822,0.1356,0.0149,-0.0555,1.7645,-0.0324,0.4963,0.1494
2019,Mark Ingram,BAL,30,202,2.5941,0.0891,0.0242,0.8588,0.2931,0.0001,0.4744,0.0777
2019,Gus Edwards,BAL,24,133,2.8271,0.0526,0.0975,1.376,-0.8619,0.2566,0.4248,0.3839
2019,Raheem Mostert,SFO,27,137,2.1679,0.0876,0.4082,-0.0872,0.2456,1.3439,0.3704,0.8143
2019,Phillip Lindsay,DEN,25,224,1.8214,0.1295,0.3326,-0.8563,1.5715,1.0793,0.3559,0.2878
2019,Chris Carson,SEA,25,278,2.6403,0.1007,-0.2941,0.9614,0.6602,-1.1137,0.3522,-0.1715
2019,Alexander Mattison,MIN,21,100,1.95,0.11,0.3572,-0.5709,0.9544,1.1654,0.3208,-0.0838
2019,Benny Snell Jr.,PIT,21,108,2.787,0.0648,-0.1856,1.287,-0.4758,-0.7341,0.2529,0.2061
2019,Joe Mixon,CIN,23,278,2.3201,0.0863,0.084,0.2506,0.2045,0.2094,0.2265,0.1413
2019,Austin Ekeler,LAC,24,132,2.4545,0.0909,-0.2018,0.549,0.35,-0.7908,0.1544,0.0485
2019,Miles Sanders,PHI,22,179,2.0838,0.0894,0.2244,-0.2739,0.3026,0.7007,0.1427,0.2071
2019,LeSean McCoy,KAN,31,101,1.9802,0.0495,0.7744,-0.5038,-0.96,2.6254,0.1416,0.4501
2019,Ezekiel Elliott,DAL,24,301,2.2558,0.0797,0.1233,0.1079,-0.0044,0.3469,0.134,-0.1739
2019,Kenyan Drake,ARI,25,123,2.0081,0.065,0.5409,-0.4419,-0.4695,1.8082,0.1123,0.6134
2019,Carlos Hyde,HOU,29,245,2.2245,0.0898,-0.0004,0.0384,0.3152,-0.086,0.0904,-0.1063
2019,James Conner,PIT,24,116,2.2845,0.0431,0.3725,0.1716,-1.1625,1.2189,0.0332,0.2616
2019,Dalvin Cook,MIN,24,250,2.384,0.08,-0.1568,0.3925,0.0051,-0.6333,0.0198,-0.1638
2019,Adrian Peterson,WAS,34,211,2.4834,0.0332,0.0074,0.6131,-1.4758,-0.0587,-0.1815,-0.0965
2019,David Montgomery,CHI,22,242,1.624,0.1157,0.0151,-1.2945,1.1348,-0.0317,-0.25,0.1156
2019,Todd Gurley,LAR,25,223,1.6771,0.0942,0.124,-1.1766,0.4545,0.3493,-0.3058,0.0466
2019,Le'Veon Bell,NYJ,27,245,2.049,0.0653,-0.0273,-0.3511,-0.46,-0.1801,-0.341,-0.0809
2019,Latavius Murray,NOR,29,146,1.6918,0.0753,0.2508,-1.144,-0.1436,0.7931,-0.3596,-0.1865
2019,Matt Breida,SFO,24,123,1.7967,0.065,0.2093,-0.9112,-0.4695,0.6478,-0.3889,0.2443
2019,Jordan Howard,PHI,25,119,2.3697,0.0336,-0.2196,0.3607,-1.4631,-0.853,-0.4899,0.0491
2019,Marlon Mack,IND,23,247,2.0243,0.0486,0.0093,-0.406,-0.9885,-0.052,-0.4922,-0.1745
2019,Kerryon Johnson,DET,22,113,2.0,0.0708,-0.2438,-0.4599,-0.286,-0.9377,-0.5272,-0.3571
2019,Jamaal Williams,GNB,24,107,1.7757,0.0467,0.1273,-0.9578,-1.0486,0.3609,-0.6554,-0.1448
2019,Melvin Gordon,LAC,26,162,1.8519,0.0494,-0.041,-0.7886,-0.9632,-0.2281,-0.7008,-0.3934
2019,Christian McCaffrey,CAR,23,287,1.7875,0.0557,-0.0906,-0.9316,-0.7638,-0.4016,-0.7488,-0.0669
2019,Frank Gore,BUF,36,166,2.0422,0.0602,-0.4753,-0.3662,-0.6214,-1.7478,-0.7882,-0.6646
2019,DeAndre Washington,OAK,26,108,1.8611,0.0463,-0.1878,-0.7682,-1.0613,-0.7418,-0.8495,-0.7406
2019,Sony Michel,NWE,24,247,1.583,0.0648,-0.1407,-1.3855,-0.4758,-0.5769,-0.9105,-0.2077
2019,Devonta Freeman,ATL,27,184,1.5924,0.0598,-0.0981,-1.3647,-0.6341,-0.4279,-0.9113,-0.1864
2019,Royce Freeman,DEN,23,132,1.9091,0.0606,-0.5108,-0.6617,-0.6088,-1.8721,-0.9484,-0.4681
2019,Peyton Barber,TAM,25,154,1.7273,0.0519,-0.2124,-1.0652,-0.884,-0.8278,-0.9515,-0.5415
2019,Tevin Coleman,SFO,26,137,1.3869,0.0365,-0.475,-1.8208,-1.3714,-1.7468,-1.6675,-0.85
2020,Nick Chubb,CLE,25,190,2.6895,0.1105,0.4842,1.3089,1.5402,1.5427,1.4367,0.6945
2020,Derrick Henry,TEN,26,378,2.8386,0.0899,0.0746,1.6844,0.7109,0.1409,1.0065,0.2026
2020,J.K. Dobbins,BAL,22,134,2.9403,0.0522,0.4346,1.9405,-0.8067,1.3729,0.9744,0.7948
2020,Aaron Jones,GNB,26,201,2.9453,0.0697,0.0696,1.9531,-0.1023,0.1238,0.8792,0.4374
2020,Zack Moss,BUF,23,112,2.4464,0.1161,0.0724,0.6967,1.7656,0.1333,0.8765,-0.1916
2020,Ronald Jones II,TAM,23,192,3.0417,0.0521,0.0582,2.1959,-0.8108,0.0848,0.7661,0.5245
2020,Dalvin Cook,MIN,25,312,2.4231,0.1058,0.1013,0.638,1.351,0.2323,0.7505,0.0911
2020,Mike Davis,CAR,27,165,2.4121,0.1273,-0.1902,0.6103,2.2165,-0.7654,0.7482,-0.029
2020,Antonio Gibson,WAS,22,170,2.0471,0.1176,0.4202,-0.3089,1.826,1.3237,0.7397,0.6134
2020,David Montgomery,CHI,23,247,2.3887,0.1174,-0.0789,0.5514,1.8179,-0.3845,0.6974,-0.031
2020,Austin Ekeler,LAC,25,116,2.2155,0.1121,0.2198,0.1152,1.6046,0.6378,0.6927,0.6615
2020,Alvin Kamara,NOR,25,187,2.1711,0.1016,0.206,0.0034,1.1819,0.5906,0.5037,0.3287
