year,player,team,LINX_loo,ol_adj_loo
2018,Ezekiel Elliott,DAL,0.07790465238323024,1.4189593301435406
2018,Saquon Barkley,NYG,1.2031224201628812,0.5406806400721207
2018,David Johnson,ARI,-0.9181690647476471,0.1414728682170543
2018,Todd Gurley,LAR,0.2316112972072445,0.18452710176991172
2018,Adrian Peterson,WAS,-0.4840874891196423,-0.8480996648327324
2018,Jordan Howard,CHI,-0.8813578880804771,-1.0279999999999998
2018,Chris Carson,SEA,0.2062924466619831,-0.7895969913068499
2018,Joe Mixon,CIN,-0.1865554084989219,0.632248342374925
2018,Peyton Barber,TAM,0.0037607104224504917,0.561965811965812
2018,Christian McCaffrey,CAR,0.22815618398815316,1.149670218163369
2018,James Conner,PIT,0.2118321993719095,0.3690834473324216
2018,Derrick Henry,TEN,1.7478602145362938,0.20345086271567903
2018,Lamar Miller,HOU,0.08045671414289868,0.20095238095238077
2018,Sony Michel,NWE,-0.3404885853121421,-0.18083309878975484
2018,Marlon Mack,IND,-0.23697723974718823,-0.011317418213970143
2018,Alvin Kamara,NOR,0.41127562890136937,0.3475536822919634
2018,Nick Chubb,CLE,1.5648456185758919,0.7677218614718613
2018,Phillip Lindsay,DEN,-0.23531606132528626,2.0885416666666665
2018,Kareem Hunt,KAN,0.309642582870264,-0.6513521372492002
2018,Melvin Gordon,LAC,1.108860032937697,0.29659538066723723
2018,Doug Martin,OAK,-0.08338157932439966,0.7689036544850498
2018,Carlos Hyde,CLE,0.376511289874785,-1.1820931639443435
2018,Tevin Coleman,ATL,-0.6594044194752654,0.19378983967548757
2018,LeSean McCoy,BUF,-1.2494778014678536,0.34643848288621637
2018,Frank Gore,MIA,0.04658620826654489,-0.4487179487179489
2018,Dion Lewis,TEN,-0.2966505377527342,-0.20345086271567903
2018,LeGarrette Blount,DET,-1.2900784122621947,-1.628498262301079
2018,Matt Breida,SFO,0.21705916428145555,0.9432518663073446
2018,Alfred Blue,HOU,-1.2165898616375281,-0.20095238095238077
2018,Isaiah Crowell,NYJ,0.8125637690235203,0.6194805194805193
2018,Latavius Murray,MIN,-0.39216285160471887,-0.4704365079365078
2018,Mark Ingram,NOR,0.955671829728724,-0.37736195193542477
2018,Gus Edwards,BAL,0.5480420784195639,0.9752843320319131
2018,Dalvin Cook,MIN,0.000361853516424121,0.6466165413533833
2018,Leonard Fournette,JAX,-1.064659267147949,-0.38706766917293245
2018,Aaron Jones,GNB,-0.055462714820982195,1.6397812713602185
2018,Royce Freeman,DEN,0.2046960686905489,-2.1802586793737238
2018,Jamaal Williams,GNB,-1.0092943930453937,-1.6397812713602185
2018,Josh Adams,PHI,-0.10874046975365315,0.002328966521106146
2018,Kenyan Drake,MIA,-0.1490702840194097,-0.11458333333333348
2018,Kerryon Johnson,DET,0.9686449555727741,1.6764005173235315
2018,Chris Ivory,BUF,-0.10885768053068562,-0.8759197324414716
2018,Alex Collins,BAL,-0.25919210164414086,-0.45827804806132977
2018,Mike Davis,SEA,-0.5005194006718593,0.43760757314974175
2018,Alfred Morris,SFO,-0.46924597870278834,-1.1425773599686646
2018,Austin Ekeler,LAC,1.1557540046535655,-0.3193156379916855
2018,T.J. Yeldon,JAX,-0.4757724334973237,0.5744720965309202
2019,Derrick Henry,TEN,1.2575377715474894,0.36471185580096477
2019,Ezekiel Elliott,DAL,0.25046161494909863,0.5548172757475083
2019,Nick Chubb,CLE,1.0926779417451418,0.25011984659635655
2019,Christian McCaffrey,CAR,-1.6419812437317793,-2.7047038327526134
2019,Chris Carson,SEA,0.2573831642414484,-0.9870137788074627
2019,Joe Mixon,CIN,0.3647274384248608,0.5245011537939461
2019,Leonard Fournette,JAX,0.8995377396862614,0.8442048517520215
2019,Dalvin Cook,MIN,0.03233573966971198,-0.3846976744186046
2019,Marlon Mack,IND,-0.4667423959662515,0.02429149797570851
2019,Sony Michel,NWE,-0.9052001480372386,-0.3940896196535295
2019,Le'Veon Bell,NYJ,-0.37505287248205044,-0.21840193704600486
2019,Carlos Hyde,HOU,0.12165497178187805,0.03442340791738374
2019,Josh Jacobs,OAK,0.8843238732360589,0.05220104570753903
