player,season_pair,year_t,team_t,team_t1,same_team,age_t,LINX_t,LINX_t1,z_yac_t,z_brk_t,z_ol_t,ol_delta,ypc_above_t,ypc_above_t1
Devin Singletary,2024-2025,2024,NYG,NYG,1,27,-0.2679,-0.8613,-0.2951,0.7395,-1.4279,0.1061,-0.2299,-0.3353
Emanuel Wilson,2024-2025,2024,GNB,GNB,1,25,0.769,0.0454,0.645,0.6981,1.0771,-0.5815,0.3245,0.0017
J.K. Dobbins,2024-2025,2024,LAC,DEN,0,26,1.3455,0.688,1.1321,2.0407,0.8955,-0.0744,0.582,0.6213
Jahmyr Gibbs,2024-2025,2024,DET,DET,1,22,0.9192,-0.0354,0.7882,0.5702,1.5737,-0.1773,0.7066,0.2221
James Cook,2024-2025,2024,BUF,BUF,1,25,0.3406,0.379,0.5357,-0.0466,0.4541,-0.0709,0.265,0.2196
Javonte Williams,2024-2025,2024,DEN,DAL,0,24,-1.0746,0.8322,-0.9408,-1.5057,-0.7979,0.104,-0.4347,0.1027
Jaylen Warren,2024-2025,2024,PIT,PIT,1,26,0.0872,0.8268,-0.6366,0.5439,0.842,-0.4068,0.202,0.1097
Jonathan Taylor,2024-2025,2024,IND,IND,1,25,-0.4466,0.7884,-0.7767,-0.7273,0.4845,-0.1185,0.265,0.1752
Jordan Mason,2024-2025,2024,SFO,MIN,0,25,0.594,0.7759,0.4141,0.6078,0.9013,-0.2353,0.2849,0.46
Josh Jacobs,2024-2025,2024,GNB,GNB,1,26,0.8438,0.0667,0.9499,1.785,-0.4763,0.2016,-0.134,0.0038
Kareem Hunt,2024-2025,2024,KAN,KAN,1,29,-1.103,-0.4097,-1.5243,-1.2726,-0.1411,-0.1244,-0.0174,0.0372
Kenneth Walker III,2024-2025,2024,SEA,SEA,1,24,-0.1737,0.4226,-0.3508,0.6078,-0.7929,0.5725,-0.3667,0.3464
Kyren Williams,2024-2025,2024,LAR,LAR,1,24,-0.1775,-0.0191,-0.6846,0.6229,-0.2253,-0.188,0.0604,-0.1152
Nick Chubb,2024-2025,2024,CLE,HOU,0,29,-1.6018,-0.0287,-1.6992,-1.1146,-2.0111,0.8649,-0.8393,0.3104
Rachaad White,2024-2025,2024,TAM,TAM,1,25,0.037,-0.2458,1.5789,-0.2384,-2.4082,1.3137,-0.8378,0.572
Rhamondre Stevenson,2024-2025,2024,NWE,NWE,1,26,-0.1154,1.1003,-0.1784,-0.0466,-0.0848,-0.5877,-0.1332,0.0077
Rico Dowdle,2024-2025,2024,DAL,CAR,0,26,-0.053,0.1011,0.08,-0.8288,0.6386,-0.0733,0.4499,0.2601
Saquon Barkley,2024-2025,2024,PHI,PHI,1,27,-0.1075,-0.5988,-0.5473,-0.5167,1.1752,-0.5423,0.5489,-0.3049
Tony Pollard,2024-2025,2024,TEN,TEN,1,27,0.2181,-0.2168,0.019,0.5928,0.127,-0.0513,0.0764,0.1662
Travis Etienne,2024-2025,2024,JAX,JAX,1,25,-0.9935,-0.1348,-0.9445,-1.8367,-0.0698,0.0555,-0.4714,0.1263
Tyler Allgeier,2024-2025,2024,ATL,ATL,1,24,0.2966,-1.0067,1.4117,-0.6671,-0.5541,-0.4237,0.0047,-1.0799
Tyrone Tracy Jr.,2024-2025,2024,NYG,NYG,1,25,-0.7947,-0.5617,-1.3294,-1.4117,0.9083,-0.0783,0.2726,0.197
Zach Charbonnet,2024-2025,2024,SEA,SEA,1,23,0.3428,-0.4015,0.2986,0.7545,-0.0717,-0.3604,0.103,-0.3333
