year,player,team,age,att,ybc_total,yac_total,brk
2023,Isiah Pacheco,KAN,24,205,550,385,15
2023,Jerome Ford,CLE,24,204,446,367,26
2023,Gus Edwards,BAL,28,198,448,362,12
2023,Tyler Allgeier,ATL,23,186,320,363,15
2023,Ezekiel Elliott,NWE,28,184,350,292,5
2023,Zack Moss,IND,26,183,449,345,4
2023,Jahmyr Gibbs,DET,21,182,487,458,21
2023,Alvin Kamara,NOR,28,180,407,287,7
2023,Alexander Mattison,MIN,25,180,388,312,5
2023,Austin Ekeler,LAC,28,179,328,300,9
2023,AJ Dillon,GNB,25,178,311,302,5
2023,Brian Robinson Jr.,WAS,24,178,387,346,16
2023,Jonathan Taylor,IND,24,169,287,454,14
2023,Rhamondre Stevenson,NWE,25,156,296,323,11
2023,Jaylen Warren,PIT,25,149,427,357,27
2023,Dameon Pierce,HOU,23,145,180,236,12
2023,Aaron Jones,GNB,29,142,337,319,11
2023,Kareem Hunt,CLE,28,135,236,175,2
2023,Khalil Herbert,CHI,25,132,329,282,13
2023,Miles Sanders,CAR,26,129,208,224,8
2023,D'Onta Foreman,CHI,27,109,260,165,7
2023,Zach Charbonnet,SEA,22,108,253,209,10
2023,Joshua Kelley,LAC,26,107,216,189,6
2023,Jamaal Williams,NOR,28,106,156,150,3
2023,Zamir White,LVR,24,104,206,245,8
2023,De'Von Achane,MIA,22,103,484,316,13
2023,Ty Chandler,MIN,25,102,279,182,3
2023,Tyjae Spears,TEN,22,100,237,216,5
2023,Rico Dowdle,DAL,25,89,188,173,5
2023,Kenneth Gainwell,PHI,24,84,204,160,6
2023,Justice Hill,BAL,26,84,267,120,9
2023,Roschon Johnson,CHI,22,81,228,124,3
2023,Latavius Murray,BUF,33,79,174,126,3
2023,Royce Freeman,LAR,27,77,180,139,8
2023,Jaleel McLaughlin,DEN,23,76,240,170,4
2023,Elijah Mitchell,SFO,25,75,138,143,6
2023,Clyde Edwards-Helaire,KAN,24,70,145,78,4
2023,Dalvin Cook,NYJ,28,67,125,89,6
2023,Antonio Gibson,WAS,25,65,123,142,5
2023,Pierre Strong,CLE,25,63,133,158,5
2023,Cam Akers,LAR,24,22,1,28,4
2023,Cam Akers,MIN,24,38,77,61,2
2023,Emari Demercado,ARI,24,58,166,118,2
2023,Matt Breida,NYG,28,55,86,65,1
2023,Samaje Perine,DEN,28,53,109,129,2
2023,Chris Rodriguez,WAS,23,51,123,124,5
2023,Tank Bigsby,JAX,22,50,67,65,7
2023,Cordarrelle Patterson,ATL,32,50,92,89,2
2023,Chase Edmonds,TAM,27,49,102,74,2
2023,Keaton Mitchell,BAL,21,47,238,158,7
2023,Darrell Henderson,LAR,26,46,45,67,1
2023,Chase Brown,CIN,23,44,52,127,2
2023,D'Ernest Johnson,JAX,27,41,76,32,1
2023,Kendre Miller,NOR,21,41,72,84,3
2023,Craig Reynolds,DET,27,41,104,75,1
2023,Jeff Wilson,MIA,28,41,104,84,1
2023,Jordan Mason,SFO,24,40,110,96,3
2023,Isaiah Spiller,LAC,22,37,37,59,2
2023,Keaontay Ingram,ARI,24,35,33,41,3
2023,Trey Sermon,IND,24,35,61,99,4
2023,Ronnie Rivers,LAR,24,32,75,54,1
2023,Patrick Taylor,GNB,25,32,71,70,4
2023,Darrynton Evans,CHI,25,30,65,40,0
2023,Ty Johnson,BUF,26,30,68,64,1
2023,Michael Carter,ARI,24,22,104,45,1
2023,Nick Chubb,CLE,28,28,100,70,2
2023,Melvin Gordon,BAL,30,26,29,52,1
2023,Tony Jones,NOR,26,21,45,25,0
2023,Ke'Shawn Vaughn,TAM,26,24,22,20,4
2023,Damien Harris,BUF,26,23,51,43,2
2023,Deuce Vaughn,DAL,22,23,20,20,0
2023,Israel Abanikanda,NYJ,21,22,46,24,1
2023,Salvon Ahmed,MIA,25,22,18,43,2
2023,La'Mical Perine,KAN,25,22,34,43,1
2023,Jerick McKinnon,KAN,31,21,46,14,0
2023,Boston Scott,PHI,28,20,53,33,3
2023,Chris Brooks,MIA,23,19,26,80,2
2023,Eric Gray,NYG,24,17,26,22,1
2023,Kevin Harris,NWE,23,16,11,54,1
2023,Ameer Abdullah,LVR,30,15,49,40,1
2023,Sean Tucker,TAM,22,15,11,12,1
2023,Trayveon Williams,CIN,26,15,47,22,0
2023,Raheem Blackshear,CAR,24,14,28,18,1
2023,Emanuel Wilson,GNB,24,14,67,18,0
2023,Deon Jackson,IND,24,13,2,12,0
2023,Tyler Goodson,IND,23,13,58,29,0
2023,Leonard Fournette,BUF,28,12,20,20,0
2023,Rashaad Penny,PHI,27,11,16,17,0
2023,Damien Williams,ARI,31,11,15,28,1
2023,DeeJay Dallas,SEA,25,10,29,7,1
2024,Saquon Barkley,PHI,27,345,1328,677,19
2024,Derrick Henry,BAL,30,325,1012,909,42
2024,Kyren Williams,LAR,24,316,693,606,27
2024,Bijan Robinson,ATL,22,304,728,728,23
2024,Jonathan Taylor,IND,25,303,859,572,15
2024,Josh Jacobs,GNB,26,301,592,737,35
2024,Najee Harris,PIT,26,263,502,541,22
2024,Tony Pollard,TEN,27,260,521,558,22
2024,Aaron Jones,MIN,30,255,614,524,11
2024,D'Andre Swift,CHI,25,253,511,448,7
2024,Jahmyr Gibbs,DET,22,250,813,599,21
2024,Chuba Hubbard,CAR,25,250,656,539,14
2024,Joe Mixon,HOU,28,245,549,467,19
2024,James Conner,ARI,29,236,528,566,24
2024,Rico Dowdle,DAL,26,235,570,509,11
2024,Chase Brown,CIN,24,229,599,391,23
2024,Alvin Kamara,NOR,29,228,548,402,13
2024,Breece Hall,NYJ,23,209,432,444,7
2024,James Cook,BUF,25,207,530,479,14
2024,Bucky Irving,TAM,22,207,566,556,12
2024,Rhamondre Stevenson,NWE,26,207,370,431,14
2024,De'Von Achane,MIA,23,203,486,421,7
2024,Kareem Hunt,KAN,29,200,399,329,7
2024,J.K. Dobbins,LAC,26,195,416,489,24
2024,Tyrone Tracy Jr.,NYG,25,192,511,328,6
2024,Brian Robinson Jr.,WAS,25,187,378,421,10
2024,David Montgomery,DET,27,185,347,428,19
2024,Tank Bigsby,JAX,23,168,295,471,14
2024,Jordan Mason,SFO,25,153,441,348,13
2024,Kenneth Walker III,SEA,24,153,263,310,13
2024,Travis Etienne,JAX,25,150,283,275,3
2024,Rachaad White,TAM,25,144,231,382,9
2024,Javonte Williams,DEN,24,139,258,255,4
2024,Tyler Allgeier,ATL,24,137,288,356,7
2024,Zach Charbonnet,SEA,23,135,267,302,12
2024,Alexander Mattison,LVR,26,132,209,211,7
2024,Antonio Gibson,NWE,26,120,215,323,12
2024,Jaylen Warren,PIT,26,120,279,232,10
2024,Ray Davis,BUF,25,113,217,225,6
2024,Jaleel McLaughlin,DEN,24,113,302,194,8
2024,Devin Singletary,NYG,27,113,206,231,10
2024,Jerome Ford,CLE,25,104,345,220,5
2024,Cam Akers,HOU,25,40,84,63,2
2024,Cam Akers,MIN,25,64,142,155,5
2024,Emanuel Wilson,GNB,25,103,260,242,9
2024,Nick Chubb,CLE,29,102,170,162,4
2024,Gus Edwards,LAC,29,101,125,240,9
2024,Braelon Allen,NYJ,20,92,143,191,4
2024,Raheem Mostert,MIA,32,85,143,135,1
2024,Isaac Guerendo,SFO,24,84,180,240,3
2024,Tyjae Spears,TEN,23,84,128,184,13
2024,Isiah Pacheco,KAN,25,83,182,128,0
2024,Austin Ekeler,WAS,29,77,231,136,3
2024,Audric Estime,DEN,21,76,134,176,3
2024,Kenneth Gainwell,PHI,25,75,162,128,3
2024,Ezekiel Elliott,DAL,29,74,115,111,2
2024,Zack Moss,CIN,27,74,166,76,4
2024,D'Onta Foreman,CLE,28,71,131,101,0
2024,Jaylen Wright,MIA,21,68,126,123,3
2024,Ameer Abdullah,LVR,31,66,183,128,5
2024,Zamir White,LVR,25,65,93,90,4
2024,Trey Benson,ARI,22,63,157,134,4
2024,Blake Corum,LAR,24,58,122,85,0
2024,Ty Chandler,MIN,26,56,128,54,0
2024,Trey Sermon,IND,25,56,75,84,3
2024,Carson Steele,KAN,22,56,87,96,2
2024,Roschon Johnson,CHI,23,55,80,70,0
2024,Jeremy McNichols,WAS,29,55,97,164,7
2024,Miles Sanders,CAR,27,55,124,81,2
2024,Christian McCaffrey,SFO,28,50,116,86,3
2024,Sean Tucker,TAM,23,50,179,129,5
2024,Jamaal Williams,NOR,29,48,92,72,0
2024,Justice Hill,BAL,27,47,90,138,6
2024,Kimani Vidal,LAC,23,43,83,72,3
2024,Ty Johnson,BUF,27,41,106,107,2
2024,Dameon Pierce,HOU,24,40,77,216,6
2024,Sincere McCormick,LVR,24,39,90,93,5
2024,Kendre Miller,NOR,22,39,55,93,6
2024,Patrick Taylor,SFO,26,39,89,94,0
2024,Chris Brooks,GNB,24,36,74,109,6
2024,Khalil Herbert,CIN,26,28,68,46,0
2024,Michael Carter,ARI,25,35,81,50,1
2024,Chris Rodriguez,WAS,24,35,62,111,1
2024,Hassan Haskins,LAC,25,34,39,50,0
2024,Tyler Goodson,IND,24,32,93,60,0
2024,D'Ernest Johnson,JAX,28,32,79,64,0
2024,Cordarrelle Patterson,PIT,33,32,46,89,3
2024,Kenny McIntosh,SEA,24,31,97,75,5
2024,Craig Reynolds,DET,28,31,91,48,1
2024,Isaiah Davis,NYJ,22,30,66,108,4
2024,Dare Ogunbowale,HOU,30,30,70,42,1
2024,Will Shipley,PHI,22,30,44,38,0
2024,Pierre Strong,CLE,26,26,69,39,0
2024,Emari Demercado,ARI,25,24,86,137,3
2024,Julius Chestnut,TEN,24,22,55,47,2
2024,Ronnie Rivers,LAR,25,22,71,28,0
2024,Jamycal Hasty,NWE,28,20,38,31,0
2024,Jordan Mims,NOR,25,20,50,20,0
2024,Samaje Perine,KAN,29,20,54,38,0
2024,Deuce Vaughn,DAL,23,17,38,32,0
2024,Jeff Wilson,MIA,29,16,24,33,0
2024,Raheem Blackshear,CAR,25,15,35,45,2
2024,Keaton Mitchell,BAL,22,15,8,22,2
2024,Eric Gray,NYG,25,14,17,14,0
2024,Mike Boone,CAR,29,13,30,21,1
2024,Clyde Edwards-Helaire,NOR,25,13,17,29,3
2024,Terrell Jennings,NWE,23,13,19,14,0
2024,Jase McClellan,ATL,22,13,13,19,0
2024,Hunter Luepke,DAL,24,12,13,25,1
2024,Tyler Badie,DEN,24,11,22,64,1
2024,Rasheen Ali,BAL,23,10,16,15,0
2024,J.J. Taylor,HOU,26,10,34,10,0
2025,Jonathan Taylor,IND,26,323,798,787,27
2025,Christian McCaffrey,SFO,29,311,728,474,10
2025,James Cook,BUF,26,309,935,686,21
2025,Derrick Henry,BAL,31,307,866,729,13
2025,Bijan Robinson,ATL,23,287,812,666,22
2025,Saquon Barkley,PHI,28,280,689,451,18
2025,Ashton Jeanty,LVR,22,266,419,556,24
2025,Travis Etienne,JAX,26,260,562,545,10
2025,Kyren Williams,LAR,25,259,737,515,22
2025,Javonte Williams,DAL,25,252,574,627,25
2025,Jahmyr Gibbs,DET,23,243,819,404,18
2025,Breece Hall,NYJ,24,243,618,447,12
2025,Tony Pollard,TEN,28,242,640,442,16
2025,De'Von Achane,MIA,24,238,631,719,22
2025,Rico Dowdle,CAR,27,236,596,480,14
2025,Josh Jacobs,GNB,27,234,459,470,16
2025,Chase Brown,CIN,25,232,525,494,16
2025,Quinshon Judkins,CLE,22,230,322,505,11
2025,D'Andre Swift,CHI,26,223,666,421,11
2025,Kenneth Walker III,SEA,25,221,621,406,23
2025,Jaylen Warren,PIT,27,211,461,497,23
2025,Woody Marks,HOU,25,196,356,347,6
2025,Zach Charbonnet,SEA,24,184,393,337,14
2025,TreVeyon Henderson,NWE,23,180,549,362,11
2025,Tyrone Tracy Jr.,NYG,26,176,439,301,5
2025,Jacory Croskey-Merritt,WAS,24,175,443,362,13
2025,Bucky Irving,TAM,23,173,305,283,10
2025,Kyle Monangai,CHI,23,169,459,324,5
2025,Kareem Hunt,KAN,30,163,290,321,7
2025,Jordan Mason,MIN,26,159,373,385,13
2025,David Montgomery,DET,28,158,370,346,3
2025,Kimani Vidal,LAC,24,155,276,367,3
2025,J.K. Dobbins,DEN,27,153,398,374,9
2025,RJ Harvey,DEN,24,146,278,262,7
2025,Blake Corum,LAR,25,145,509,237,12
2025,Tyler Allgeier,ATL,25,143,284,230,9
2025,Chuba Hubbard,CAR,26,134,269,242,1
2025,Aaron Jones,MIN,31,132,314,234,5
2025,Rachaad White,TAM,26,132,373,199,9
2025,Alvin Kamara,NOR,30,131,282,189,7
2025,Rhamondre Stevenson,NWE,27,130,243,360,16
2025,Emanuel Wilson,GNB,26,125,217,279,7
2025,Omarion Hampton,LAC,22,124,336,209,15
2025,Nick Chubb,HOU,30,122,251,255,5
2025,Devin Singletary,NYG,28,119,219,218,4
2025,Isiah Pacheco,KAN,26,118,255,207,2
2025,Kenneth Gainwell,PIT,26,114,300,237,14
2025,Chris Rodriguez,WAS,25,112,167,333,13
2025,Cam Skattebo,NYG,23,101,218,192,7
2025,Michael Carter,ARI,26,92,209,124,3
2025,Brian Robinson Jr.,SFO,26,92,237,163,10
2025,Sean Tucker,TAM,24,86,237,83,5
2025,Samaje Perine,CIN,30,84,192,190,4
2025,Bhayshul Tuten,JAX,22,83,137,170,5
2025,Zonovan Knight,ARI,24,82,135,134,5
2025,Tyjae Spears,TEN,24,72,186,97,4
2025,Ollie Gordon,MIA,21,70,81,118,6
2025,Jaylen Wright,MIA,22,70,112,176,6
2025,Dylan Sampson,CLE,21,65,75,100,6
2025,Tank Bigsby,PHI,24,58,182,162,10
2025,Keaton Mitchell,BAL,23,59,213,128,2
2025,Ray Davis,BUF,26,58,145,130,3
2025,Devin Neal,NOR,22,57,96,110,1
2025,Malik Davis,DAL,27,52,152,98,0
2025,Ty Johnson,BUF,28,50,129,71,2
2025,Kendre Miller,NOR,23,47,72,121,7
2025,Audric Estime,NOR,22,46,100,98,7
2025,Emari Demercado,ARI,26,44,194,118,4
2025,Jeremy McNichols,WAS,30,44,68,153,6
2025,Brashard Smith,KAN,22,44,92,59,0
2025,Isaiah Davis,NYJ,23,43,130,106,2
2025,Jawhar Jordan,HOU,26,43,103,90,8
2025,Jaret Patterson,LAC,26,41,65,94,1
2025,Jaydon Blue,DAL,21,38,85,44,2
2025,Jaleel McLaughlin,DEN,25,37,114,73,2
2025,James Conner,ARI,30,32,39,56,3
2025,Zavier Scott,MIN,26,32,52,62,1
2025,Trey Benson,ARI,23,29,88,72,2
2025,Kaleb Johnson,PIT,22,28,35,34,2
2025,Chris Brooks,GNB,25,27,56,50,1
2025,Raheim Sanders,CLE,23,27,32,60,0
2025,DJ Giddens,IND,22,26,48,48,0
2025,Antonio Gibson,NWE,27,25,52,54,2
2025,Jerome Ford,CLE,26,24,43,30,9
2025,LeQuint Allen,JAX,21,23,59,35,2
2025,Terrell Jennings,NWE,24,23,50,23,1
2025,George Holani,SEA,26,22,36,37,3
2025,Raheem Mostert,LVR,33,22,36,68,2
2025,Trevor Etienne,CAR,21,20,48,46,1
2025,Miles Sanders,DAL,28,20,81,36,1
2025,Evan Hull,NOR,25,19,28,20,0
2025,Braelon Allen,NYJ,21,18,43,33,0
2025,Justice Hill,BAL,28,18,23,70,1
2025,British Brooks,HOU,26,17,22,56,2
2025,Ty Chandler,MIN,27,17,16,31,1
2025,Hassan Haskins,LAC,26,17,21,26,1
2025,Tahj Brooks,CIN,23,16,25,20,1
2025,Khalil Herbert,NYJ,27,16,15,37,0
2025,Hunter Luepke,DAL,25,16,26,45,0
2025,Najee Harris,LAC,27,15,30,31,0
2025,Ameer Abdullah,IND,32,14,28,32,1
2025,Austin Ekeler,WAS,30,14,23,20,0
2025,Will Shipley,PHI,23,14,28,21,0
2025,D'Ernest Johnson,NWE,29,13,16,9,1
2025,Dameon Pierce,HOU,25,10,7,19,2
2025,Kene Nwangwu,NYJ,27,13,24,25,0
2025,AJ Dillon,PHI,27,12,28,32,2
2025,Corey Kiner,ARI,23,12,29,29,1
2025,Zamir White,LVR,26,12,19,13,0
2025,Julius Chestnut,TEN,25,11,28,12,0
2025,Dare Ogunbowale,HOU,31,11,11,14,0
