year,player,team,age,att,yac_att,brk_rate,ybc_att,ol_adj_ybc,ypc_above_team
2019,Alvin Kamara,NOR,24,171,2.345,0.1696,2.3158,-0.1046,0.1113
2019,Kenyan Drake,ARI,25,123,2.0081,0.065,3.2195,0.5409,0.6134
2019,Frank Gore,BUF,36,166,2.0422,0.0602,1.5663,-0.4753,-0.6646
2019,Melvin Gordon,LAC,26,162,1.8519,0.0494,1.9259,-0.041,-0.3934
2019,Peyton Barber,TAM,25,154,1.7273,0.0519,1.3247,-0.2124,-0.5415
2019,Devin Singletary,BUF,22,151,2.3974,0.1325,2.7351,0.6936,0.8595
2019,Latavius Murray,NOR,29,146,1.6918,0.0753,2.6712,0.2508,-0.1865
2019,Tevin Coleman,SFO,26,137,1.3869,0.0365,2.5839,-0.475,-0.85
2019,Raheem Mostert,SFO,27,137,2.1679,0.0876,3.4672,0.4082,0.8143
2019,Gus Edwards,BAL,24,133,2.8271,0.0526,2.5188,0.0975,0.3839
2019,Austin Ekeler,LAC,24,132,2.4545,0.0909,1.7652,-0.2018,0.0485
2019,Royce Freeman,DEN,23,132,1.9091,0.0606,1.8485,-0.5108,-0.4681
2019,Matt Breida,SFO,24,123,1.7967,0.065,3.2683,0.2093,0.2443
2019,Jordan Howard,PHI,25,119,2.3697,0.0336,2.042,-0.2196,0.0491
2019,James Conner,PIT,24,116,2.2845,0.0431,1.7155,0.3725,0.2616
2019,Kerryon Johnson,DET,22,113,2,0.0708,1.5664,-0.2438,-0.3571
2019,Damien Williams,KAN,27,111,3.2162,0.1351,1.2703,-0.5791,0.3326
2019,Benny Snell Jr.,PIT,21,108,2.787,0.0648,1.1574,-0.1856,0.2061
2019,DeAndre Washington,OAK,26,108,1.8611,0.0463,1.7222,-0.1878,-0.7406
2019,Jamaal Williams,GNB,24,107,1.7757,0.0467,2.5234,0.1273,-0.1448
2019,LeSean McCoy,KAN,31,101,1.9802,0.0495,2.6238,0.7744,0.4501
2019,Alexander Mattison,MIN,21,100,1.95,0.11,2.67,0.3572,-0.0838
2020,Derrick Henry,TEN,26,378,2.8386,0.0899,2.5238,0.0746,0.2026
2020,Dalvin Cook,MIN,25,312,2.4231,0.1058,2.5673,0.1013,0.0911
2020,Josh Jacobs,LVR,22,273,1.978,0.0733,1.9231,-0.2114,-0.2233
2020,David Montgomery,CHI,23,247,2.3887,0.1174,1.9433,-0.0789,-0.031
2020,Ezekiel Elliott,DAL,25,244,2.1352,0.0615,1.877,0.0106,-0.0729
2020,James Robinson,JAX,22,240,2.5625,0.0667,1.8958,-0.033,0.0455
2020,Kenyan Drake,ARI,26,239,1.6987,0.0669,2.2971,-0.0994,-0.161
2020,Jonathan Taylor,IND,21,232,2.0647,0.0647,2.9741,0.3433,0.4349
2020,Melvin Gordon,DEN,27,215,2.1209,0.0744,2.4651,-0.0833,0.0995
2020,Aaron Jones,GNB,26,201,2.9453,0.0697,2.5473,0.0696,0.4374
2020,Kareem Hunt,CLE,25,198,2.3485,0.0909,1.899,-0.5431,-0.6738
2020,Todd Gurley,ATL,26,195,1.7897,0.0974,1.6872,-0.299,-0.4402
2020,Ronald Jones II,TAM,23,192,3.0417,0.0521,2.0521,0.0582,0.5245
2020,Nick Chubb,CLE,25,190,2.6895,0.1105,2.9263,0.4842,0.6945
2020,Frank Gore,NYJ,37,187,2,0.0428,1.492,-0.3563,-0.3929
2020,Alvin Kamara,NOR,25,187,2.1711,0.1016,2.8128,0.206,0.3287
2020,Clyde Edwards-Helaire,KAN,21,181,2.1215,0.0829,2.3149,0.0491,0.2086
2020,Antonio Gibson,WAS,22,170,2.0471,0.1176,2.6294,0.4202,0.6134
2020,James Conner,PIT,25,169,1.9882,0.1006,2.2781,0.3247,0.4464
2020,Mike Davis,CAR,27,165,2.4121,0.1273,1.4788,-0.1902,-0.029
2020,Miles Sanders,PHI,23,164,2.2561,0.0549,3.0305,0.2823,0.4305
2020,Adrian Peterson,DET,35,156,1.6538,0.0705,2.2179,-0.2526,-0.187
2020,Devin Singletary,BUF,23,156,2.8782,0.0577,1.5256,-0.2502,-0.0824
2020,Wayne Gallman,NYG,26,147,2.4626,0.068,2.1769,0.2124,0.5878
2020,David Johnson,HOU,29,147,1.966,0.0476,2.7347,0.4212,0.661
2020,Latavius Murray,NOR,30,146,2.0068,0.0274,2.4863,-0.1205,-0.1621
2020,Cam Akers,LAR,21,145,2.0966,0.0414,2.2138,-0.2185,-0.0334
2020,Gus Edwards,BAL,25,144,2.7014,0.0764,2.3194,-0.3132,-0.1919
2020,Myles Gaskin,MIA,23,142,2.0211,0.0423,2.0915,-0.2737,0.2054
2020,Chris Carson,SEA,26,141,2.1702,0.0709,2.6596,0.3558,0.4785
2020,Darrell Henderson,LAR,23,138,2.0435,0.058,2.4783,0.046,0.178
2020,Damien Harris,NWE,23,137,1.9124,0.0876,3.1314,0.4921,0.2197
2020,J.K. Dobbins,BAL,22,134,2.9403,0.0522,3.0672,0.4346,0.7948
2020,Jeff Wilson,SFO,25,126,2.1667,0.0714,2.5952,0.02,0.4242
2020,Giovani Bernard,CIN,29,124,1.8306,0.0645,1.5242,-0.3373,-0.5668
2020,Joe Mixon,CIN,24,119,1.6975,0.0252,1.8992,0.0377,-0.325
2020,Jamaal Williams,GNB,25,119,1.916,0.042,2.3277,-0.15,-0.8114
2020,Phillip Lindsay,DEN,26,118,1.5763,0.0424,2.678,0.1296,-0.2323
2020,Austin Ekeler,LAC,25,116,2.2155,0.1121,2.3534,0.2198,0.6615
2020,D'Andre Swift,DET,21,114,1.6667,0.0789,2.9035,0.4329,0.5114
2020,Zack Moss,BUF,23,112,2.4464,0.1161,1.8482,0.0724,-0.1916
2020,Joshua Kelley,LAC,23,111,1.5315,0.0631,1.6577,-0.476,-0.7183
2020,Benny Snell Jr.,PIT,22,111,1.8739,0.0541,1.4414,-0.512,-0.5046
2020,Raheem Mostert,SFO,28,104,1.6827,0.0481,3.3269,0.7517,0.6719
2020,Malcolm Brown,LAR,27,101,1.4653,0.0693,2.6832,0.2509,-0.1952
2020,Tony Pollard,DAL,23,101,2.4653,0.0792,1.8416,-0.0249,0.2217
2020,Brian Hill,ATL,25,100,2.57,0.06,2.08,0.0938,0.7329
2021,Jonathan Taylor,IND,22,332,2.8343,0.0753,2.6205,0.0727,0.2823
2021,Najee Harris,PIT,23,307,2.1987,0.0977,1.7101,0.0397,0.1742
2021,Joe Mixon,CIN,25,292,1.8596,0.0685,2.2671,0.0112,-0.0395
2021,Antonio Gibson,WAS,23,258,1.9496,0.0736,2.0698,-0.059,-0.069
2021,Dalvin Cook,MIN,26,249,1.9317,0.0643,2.7229,0.3606,0.3345
2021,Alvin Kamara,NOR,26,240,1.4542,0.0917,2.2875,0.2657,0.164
